公司別,All,,
日別,All,,
,,,
來店數,,,
,,,合計
2022,1,JDV,456
2022,1,NPZ45,917
2022,1,NS,125
2022,1,RE,588
2022,1,RE-PHEV,4
2022,1,SR,238
2022,2,AS,681
2022,2,ASP,134
2022,2,DE,241
2022,2,DET,539
2022,2,EJD,7
2022,2,JDP,"1,122"
2022,2,JDV,490
2022,2,NPZ45,622
2022,2,NS,114
2022,2,RE,361
2022,2,RE-PHEV,4
2022,2,SR,134
2022,3,AS,970
2022,3,ASP,223
2022,3,DE,414
2022,3,DET,725
2022,3,EJD,18
2022,3,JDP,"1,609"
2022,3,JDV,681
2022,3,NPZ45,736
2022,3,NS,145
2022,3,RE,544
2022,3,RE-PHEV,3
2022,3,SR,151
2022,4,AS,820
2022,4,ASP,210
2022,4,DE,498
2022,4,DET,624
2022,4,EJD,10
2022,4,GS45X,1
2022,4,JDP,"1,351"
2022,4,JDV,629
2022,4,NPZ45,"1,007"
2022,4,NS,170
2022,4,RE,501
2022,4,SR,160
2022,5,AS,754
2022,5,ASP,214
2022,5,DE,274
2022,5,DET,652
2022,5,EJD,23
2022,5,JDP,"1,191"
2022,5,JDV,618
2022,5,NPZ45,834
2022,5,NS,186
2022,5,RE,469
2022,5,RE-PHEV,1
2022,5,SR,150
2022,6,AS,850
2022,6,ASP,197
2022,6,DE,304
2022,6,DET,674
2022,6,EJD,27
2022,6,JDP,"1,202"
2022,6,JDV,589
2022,6,NPZ45,928
2022,6,NS,148
2022,6,RE,556
2022,6,RE-PHEV,1
2022,6,SR,142
2022,7,AS,994
2022,7,ASP,174
2022,7,DE,263
2022,7,DET,664
2022,7,EJD,46
2022,7,JDP,"1,216"
2022,7,JDV,602
2022,7,NPZ45,"1,223"
2022,7,NS,138
2022,7,RE,499
2022,7,RE-PHEV,3
2022,7,SR,185
2022,8,AS,737
2022,8,ASP,175
2022,8,DE,295
2022,8,DET,571
2022,8,EJD,40
2022,8,JDP,"1,248"
2022,8,JDV,685
2022,8,NPZ45,757
2022,8,NS,217
2022,8,RE,300
2022,8,SR,98
2022,9,AS,813
2022,9,ASP,152
2022,9,BK5門,1
2022,9,CT,2
2022,9,DE,308
2022,9,DET,559
2022,9,EJD,68
2022,9,JDP,925
2022,9,JDV,546
2022,9,NPZ45,"1,002"
2022,9,NS,173
2022,9,RE,357
2022,9,RE-PHEV,3
2022,9,SR,165
2022,10,AS,600
2022,10,ASP,92
2022,10,CT,219
2022,10,DE,289
2022,10,DET,474
2022,10,EJD,63
2022,10,JDP,893
2022,10,JDV,670
2022,10,NPZ45,817
2022,10,NS,150
2022,10,RE,465
2022,10,RE-PHEV,1
2022,10,SR,115
2022,11,AS,800
2022,11,ASP,138
2022,11,BK5門,1
2022,11,CT,207
2022,11,DE,257
2022,11,DET,517
2022,11,EJD,41
2022,11,JDP,799
2022,11,JDV,651
2022,11,NPZ45,"1,063"
2022,11,NS,163
2022,11,RE,511
2022,11,RE-PHEV,4
2022,11,SR,151
2022,12,AS,908
2022,12,ASP,154
2022,12,BK5門,2
2022,12,CT,168
2022,12,DE,321
2022,12,DET,612
2022,12,EJD,14
2022,12,JDP,"1,012"
2022,12,JDV,707
2022,12,NPZ45,"1,327"
2022,12,NS,152
2022,12,RE,534
2022,12,SR,196
總計,,,"364,301"
