Model,CarType,Category,year,months,sales
SR,LANCER,乘用車,2021,2,70
SR,LANCER,乘用車,2021,3,104
SR,LANCER,乘用車,2021,4,83
SR,LANCER,乘用車,2021,5,112
SR,LANCER,乘用車,2021,6,60
SR,LANCER,乘用車,2021,7,83
SR,LANCER,乘用車,2021,8,76
SR,LANCER,乘用車,2021,9,89
SR,LANCER,乘用車,2021,10,66
SR,LANCER,乘用車,2021,11,93
SR,LANCER,乘用車,2021,12,115
RE,OUTLANDER,乘用車,2021,1,345
RE,OUTLANDER,乘用車,2021,2,198
RE,OUTLANDER,乘用車,2021,3,255
RE,OUTLANDER,乘用車,2021,4,263
RE,OUTLANDER,乘用車,2021,5,293
RE,OUTLANDER,乘用車,2021,6,186
RE,OUTLANDER,乘用車,2021,7,156
RE,OUTLANDER,乘用車,2021,8,192
RE,OUTLANDER,乘用車,2021,9,289
RE,OUTLANDER,乘用車,2021,10,222
RE,OUTLANDER,乘用車,2021,11,260
RE,OUTLANDER,乘用車,2021,12,240
AS,ZINGER,乘用車,2021,1,774
AS,ZINGER,乘用車,2021,2,312
AS,ZINGER,乘用車,2021,3,500
AS,ZINGER,乘用車,2021,4,459
AS,ZINGER,乘用車,2021,5,539
AS,ZINGER,乘用車,2021,6,423
AS,ZINGER,乘用車,2021,7,444
AS,ZINGER,乘用車,2021,8,478
AS,ZINGER,乘用車,2021,9,550
AS,ZINGER,乘用車,2021,10,520
AS,ZINGER,乘用車,2021,11,568
AS,ZINGER,乘用車,2021,12,679
DE,DELICA(廂車),商用車,2021,1,242
DE,DELICA(廂車),商用車,2021,2,171
DE,DELICA(廂車),商用車,2021,3,241
DE,DELICA(廂車),商用車,2021,4,226
DE,DELICA(廂車),商用車,2021,5,212
DE,DELICA(廂車),商用車,2021,6,207
DE,DELICA(廂車),商用車,2021,7,240
DE,DELICA(廂車),商用車,2021,8,163
DE,DELICA(廂車),商用車,2021,9,260
DE,DELICA(廂車),商用車,2021,10,196
DE,DELICA(廂車),商用車,2021,11,363
DE,DELICA(廂車),商用車,2021,12,378
DET,DELICA(貨車),商用車,2021,1,939
DET,DELICA(貨車),商用車,2021,2,396
DET,DELICA(貨車),商用車,2021,3,598
DET,DELICA(貨車),商用車,2021,4,522
DET,DELICA(貨車),商用車,2021,5,560
DET,DELICA(貨車),商用車,2021,6,453
DET,DELICA(貨車),商用車,2021,7,558
DET,DELICA(貨車),商用車,2021,8,447
DET,DELICA(貨車),商用車,2021,9,606
DET,DELICA(貨車),商用車,2021,10,542
DET,DELICA(貨車),商用車,2021,11,540
DET,DELICA(貨車),商用車,2021,12,544
JDP,A190,商用車,2021,1,1726
JDP,A190,商用車,2021,2,776
JDP,A190,商用車,2021,3,1260
JDP,A190,商用車,2021,4,1047
JDP,A190,商用車,2021,5,1007
JDP,A190,商用車,2021,6,926
JDP,A190,商用車,2021,7,1193
JDP,A190,商用車,2021,8,855
JDP,A190,商用車,2021,9,1112
JDP,A190,商用車,2021,10,1010
JDP,A190,商用車,2021,11,995
JDP,A190,商用車,2021,12,740
JDV,A180,商用車,2021,1,461
JDV,A180,商用車,2021,2,232
JDV,A180,商用車,2021,3,376
JDV,A180,商用車,2021,4,340
JDV,A180,商用車,2021,5,391
JDV,A180,商用車,2021,6,257
JDV,A180,商用車,2021,7,299
JDV,A180,商用車,2021,8,323
JDV,A180,商用車,2021,9,426
JDV,A180,商用車,2021,10,278
JDV,A180,商用車,2021,11,383
JDV,A180,商用車,2021,12,300
NPZ,COLTPLUS,乘用車,2022,1,325
NPZ,COLTPLUS,乘用車,2022,2,196
NPZ,COLTPLUS,乘用車,2022,3,337
NPZ,COLTPLUS,乘用車,2022,4,371
NPZ,COLTPLUS,乘用車,2022,5,321
NPZ,COLTPLUS,乘用車,2022,6,346
NPZ,COLTPLUS,乘用車,2022,7,472
NPZ,COLTPLUS,乘用車,2022,8,320
NPZ,COLTPLUS,乘用車,2022,9,387
NPZ,COLTPLUS,乘用車,2022,10,319
NPZ,COLTPLUS,乘用車,2022,11,419
NPZ,COLTPLUS,乘用車,2022,12,583
SR,LANCER,乘用車,2022,1,76
SR,LANCER,乘用車,2022,2,33
SR,LANCER,乘用車,2022,3,73
SR,LANCER,乘用車,2022,4,53
SR,LANCER,乘用車,2022,5,63
SR,LANCER,乘用車,2022,6,61
SR,LANCER,乘用車,2022,7,83
SR,LANCER,乘用車,2022,8,57
