Year,Month,Model,NOI,Category,CarType
2019,9,RE,750,乘用車,OUTLANDER
2019,10,RE,866,乘用車,OUTLANDER
2019,11,RE,865,乘用車,OUTLANDER
2019,12,RE,853,乘用車,OUTLANDER
2020,1,RE,652,乘用車,OUTLANDER
2020,2,RE,594,乘用車,OUTLANDER
2020,3,RE,738,乘用車,OUTLANDER
2020,4,RE,607,乘用車,OUTLANDER
2020,5,RE,721,乘用車,OUTLANDER
2020,6,RE,851,乘用車,OUTLANDER
2020,7,RE,917,乘用車,OUTLANDER
2020,8,RE,722,乘用車,OUTLANDER
2020,9,RE,510,乘用車,OUTLANDER
2020,10,RE,697,乘用車,OUTLANDER
2020,11,RE,706,乘用車,OUTLANDER
2020,12,RE,818,乘用車,OUTLANDER
2021,1,RE,1014,乘用車,OUTLANDER
2021,2,RE,459,乘用車,OUTLANDER
2021,3,RE,626,乘用車,OUTLANDER
2021,4,RE,588,乘用車,OUTLANDER
2021,5,RE,458,乘用車,OUTLANDER
2021,6,RE,311,乘用車,OUTLANDER
2021,7,RE,398,乘用車,OUTLANDER
2021,8,RE,425,乘用車,OUTLANDER
2021,9,RE,584,乘用車,OUTLANDER
2021,10,RE,659,乘用車,OUTLANDER
2021,11,RE,601,乘用車,OUTLANDER
2021,12,RE,632,乘用車,OUTLANDER
2022,1,RE,588,乘用車,OUTLANDER
2022,2,RE,361,乘用車,OUTLANDER
2022,3,RE,544,乘用車,OUTLANDER
2022,4,RE,501,乘用車,OUTLANDER
2022,5,RE,469,乘用車,OUTLANDER
2022,6,RE,556,乘用車,OUTLANDER
2022,7,RE,499,乘用車,OUTLANDER
2022,8,RE,300,乘用車,OUTLANDER
2022,9,RE,357,乘用車,OUTLANDER
2022,10,RE,465,乘用車,OUTLANDER
2022,11,RE,511,乘用車,OUTLANDER
2022,12,RE,534,乘用車,OUTLANDER
2018,1,RE-PHEV,4,,
2018,4,RE-PHEV,2,,
2018,5,RE-PHEV,1,,
2018,7,RE-PHEV,1,,
2018,9,RE-PHEV,1,,
2018,10,RE-PHEV,1,,
2018,11,RE-PHEV,1,,
2018,12,RE-PHEV,1,,
2019,1,RE-PHEV,2,,
2019,2,RE-PHEV,1,,
2019,3,RE-PHEV,3,,
2019,4,RE-PHEV,1,,
2019,10,RE-PHEV,1,,
2019,11,RE-PHEV,3,,
2020,1,RE-PHEV,1,,
2020,2,RE-PHEV,1,,
2020,7,RE-PHEV,1,,
2020,8,RE-PHEV,1,,
2020,10,RE-PHEV,1,,
2021,1,RE-PHEV,1,,
2021,3,RE-PHEV,1,,
2021,4,RE-PHEV,104,,
2021,5,RE-PHEV,93,,
2021,6,RE-PHEV,28,,
2021,7,RE-PHEV,29,,
2021,8,RE-PHEV,16,,
2021,9,RE-PHEV,1,,
2021,10,RE-PHEV,4,,
2021,11,RE-PHEV,2,,
2021,12,RE-PHEV,2,,
2022,1,RE-PHEV,4,,
2022,2,RE-PHEV,4,,
2022,3,RE-PHEV,3,,
2022,5,RE-PHEV,1,,
2022,6,RE-PHEV,1,,
2022,7,RE-PHEV,3,,
2022,9,RE-PHEV,3,,
2022,10,RE-PHEV,1,,
2022,11,RE-PHEV,4,,
2018,1,SD,25,,
2018,2,SD,16,,
2018,3,SD,45,,
2018,4,SD,25,,
2018,5,SD,30,,
2018,6,SD,51,,
2018,7,SD,57,,
2018,8,SD,32,,
2018,9,SD,17,,
2018,10,SD,16,,
2018,11,SD,29,,
2018,12,SD,23,,
2019,1,SD,25,,
2019,2,SD,17,,
2019,3,SD,22,,
2019,4,SD,27,,
2019,5,SD,66,,
2019,6,SD,59,,
2019,7,SD,53,,
2019,8,SD,17,,
2019,9,SD,24,,
2019,11,SD,1,,
2019,12,SD,1,,
2020,7,SD,1,,
2018,1,SR,509,乘用車,LANCER
2018,2,SR,315,乘用車,LANCER
2018,3,SR,495,乘用車,LANCER
2018,4,SR,372,乘用車,LANCER
2018,5,SR,416,乘用車,LANCER
2018,6,SR,369,乘用車,LANCER
2018,7,SR,428,乘用車,LANCER
2018,8,SR,235,乘用車,LANCER
2018,9,SR,266,乘用車,LANCER
2018,10,SR,641,乘用車,LANCER
2018,11,SR,417,乘用車,LANCER
